S No,Website,Active Voice ,Passive Voice,
3092,,Carpenters make furniture.,Furniture is made by carpenters.,
3093,,A tailor stitches clothes.,Clothes are stitched by a tailor.,
3094,,The spider weaves the web.,The web is weaved by the spider.,
3095,,The bees make honey.,Honey is made by the bees.,
3096,,Parents take care of their children.,Children are taken care of by their parents.,
3097,,People all over the world love music.,Music is loved by people all over the world.,
3098,,Megha knitted a sweater.,A sweater was knitted by Megha.,
3099,,My mother made a cake.,A cake was made by my mother.,
3100,,I bought some apples.,Some apples were bought by me.,
3101,,Aditya won the first prize.,The first prize was won by Aditya.,
3102,,Maya solved the puzzle quickly.,The puzzle was quickly solved by Maya.,
3103,,The cat drank the milk.,The milk was drunk by the cat.,
3104,,She finished the work before lunchtime.,The work was finished by her before lunchtime.,
3105,,Edwin broke another window yesterday.,Another window was broken by Edwin yesterday.,
3106,,My grandfather built this house in 1960.,This house was built by my grandfather in 1960.,
3107,,The earthquake destroyed the town.,The town was destroyed by the earthquake.,
3108,,Rama loves Sita.,Sita is loved by Rama.,
3109,,My sister writes beautiful poems.,Beautiful poems are written by my sister.,
3110,,The carpenter is making a table.,A table is being made by the carpenter.,
3111,,The children are flying kites.,Kites are being flown by the children.,
3112,,I have sent the parcel.,The parcel has been sent by me.,
3113,,A girl from Tamil Nadu has won the first prize.,The first prize has been won by a girl from Tamil Nadu.,
3114,,The watchman opened the gate.,The gate was opened by the watchman.,
3115,,The cat drank the milk.,The milk was drunk by the cat.,
3116,,The volunteers were helping the wounded people.,The wounded people were being helped by the volunteers.,
3117,,The children were singing a song.,A song was being sung by the children.,
3118,,They had challenged the verdict.,The verdict had been challenged by them.,
3119,,They have analyzed the situation.,The situation has been analyzed by them.,
3120,,I have sent the report.,The report has been sent by me.,
3121,,We saw him talking to the headmaster.,He was seen talking to the headmaster.,
3122,,A cold fear gripped us.,We were gripped by a cold fear.,
3123,,I will buy the tickets for your return journey.,The tickets for your return journey will be bought by me.,
3124,,I will keep it.,It will be kept by me.,
3125,,Plant it.,Let it be planted.,
3126,,I have sown mustard in that bed.,Mustard has been sown in that bed.,
3127,,Stop the force.,Let the force be stopped.,
3128,,I have lost the key.,The key has been lost.,
3129,,She bought six mangoes.,Six mangoes were bought by her.,
3130,,They took him to the hospital.,He was taken to the hospital by them.,
3131,,Volcanoes shoot molten lava into the air.,Molten lava is shot into the air by volcanoes.,
3132,,Masons build homes.,Homes are built by masons.,
3133,,My mother knits lovely sweaters.,Lovely sweaters are knitted by my mother.,
3134,,Julia adores Betty.,Betty is adored by Julia.,
3135,,Parents raise children.,Children are raised by parents.,
3136,,Plants release oxygen.,Oxygen is released by plants.,
3137,,The FDA has not approved the new drug for sale.,The new drug has not been approved for sale by the FDA.,
3138,,They have published all information about the product.,All information about the product has been published by them.,
3139,,He teaches us chemistry.,We are taught chemistry by him.,
3140,,We must take care of all living beings on the planet.,All living beings on the planet must be taken care of by us.,
3141,,I sent the parcel yesterday.,The parcel was sent yesterday.,
3142,,She was fixing the radio.,The radio was being fixed by her.,
3143,,He sells newspapers and magazines.,Newspapers and magazines are sold by him.,
3144,,I am drafting a letter.,A letter is being drafted by me.,
3145,,I have sold my old bike.,My old bike has been sold by me.,
3146,,The officer ordered an inquiry into the matter.,An inquiry was ordered into the matter.,
3147,,I left some photos to be developed.,Some photos were left to be developed.,
3148,,She was knitting a sweater.,A sweater was being knitted by her.,
3149,,He is playing the piano.,The piano is being played by him.,
3150,,The news of his death shocked me.,I was shocked by the news of his death.,
3151,,My mother sent the parcel.,The parcel was sent by my mother.,
3152,,Shakespeare wrote King Lear.,King Lear was written by Shakespeare.,
3153,,The boy killed the spider.,The spider was killed by the boy.,
3154,,They showed me the door.,I was shown the door.,
3155,,I was told to wait outside.,I was told to wait outside.,
3156,,His performance impressed me.,I was impressed by his performance.,
3157,,They threatened me with dire consequences.,I was threatened with dire consequences.,
3158,,Hens lay eggs.,Eggs are laid by hens.,
3159,,They chose him leader.,He was chosen leader.,
3160,,Bees make honey.,Honey is made by bees.,
3161,,The Prime Minister laid the foundation stone.,The foundation stone was laid by the Prime Minister.,
3162,,The chief guest distributed the prizes.,The prizes were distributed by the chief guest.,
3163,,The teacher punished the boy.,The boy was punished by the teacher.,
3164,,Alexander Graham Bell invented the telephone.,The telephone was invented by Alexander Graham Bell.,
3165,,They considered him to be a genius.,He was considered to be a genius.,
3166,,We had completed our task before the supervisor arrived.,Our task had been completed before the supervisor arrived.,
3167,,The children laughed at the old beggar.,The old beggar was laughed at by the children.,
3168,,The government has launched a tribal welfare program in Haryana.,A tribal welfare program has been launched by the government in Haryana.,
3169,,The children were playing football.,Football was being played by the children.,
3170,,They dug a well in the morning.,A well was dug by them in the morning.,
3171,,The builder will demolish the entire building.,The entire building will be demolished by the builder.,
3172,,The thieves destroyed many items in the room. Even the carpet had been torn.,Several items in the room were destroyed by the thieves. They had even torn the carpet.,
3173,,We must respect our elders.,Our elders must be respected.,
3174,,We have warned you.,You have been warned.,
3175,,Has anybody answered your question?,Has your question been answered?,
3176,http://www.treeknox.com/general/verbal_ability/active-passive/,Someone gave her a bull dog.,A bull dog was given to her.,
3177,,Who teaches you English?,By whom are you taught English?,
3178,,They were laughing at the clown.,The clown was being laughed at by them.,
3179,,A stone struck mo on the head.,I was struck on the head by a stone.,
3180,,Darjeeling grows tea.,Tea is grown in Darjeeling.,
3181,,It is time to ring the bell.,It is time for the bell to be rung.,
3182,,Sugana was writing a letter to her father.,A letter was being written by Sugana to her father.,
3183,,Who is creating this men?,By whom is this mess being created.,
3184,,You must look into this matter.,This matter should be looked into by you.,
3185,,I saw him leaving the house.,He was seen leaving the house by me.,
3186,,Why do you waste time?,Why is time wasted by you?,
3187,,My uncle promised me a present.,I was promised a present by my uncle.,
3188,,I saw him conducting the rehearsal.,I saw the rehearsal being conducted by him.,
3189,,The teacher punished the boys who had not done their homework?,The boys who had not done their homework were punished by the teacher.,
3190,,Even a little mouse may help a lion.,A lion may be helped even by a little mouse.,
3191,,People claim to have seen the suspect in several cities.,The suspect is claimed to have been seen in several cities.,
3192,,The Romans expected to conquer Carthage.,It was expected by the Romans that they would conquered Carthage.,
3193,,We hope that we shall win the match.,It is hoped that the match will be won by us.,
3194,,The French surrendered Quebec to the English in 1759.,Quebec was surrendered by the French to the English in 1759.,
3195,,You will have finished this work by tomorrow.,This work will have been finished by tomorrow.,
3196,,Rain disrupted the last day's play between India and Sri Lanka.,The last day’s play between India and Sri Lanka was disrupted by rain.,
3197,,They are building a house next door to our school.,A house is being built by them next door to our school.,
3198,,The residents celebrated the Independence Day.,The Independence Day was celebrated by the residents.,
3199,,Fire destroyed the house.,The house was destroyed by fire.,
3200,,I wrote the poem.,The poem was written by me.,
3201,,Andrew carried the books from the library.,The books were carried by Andrew from the library.,
3202,,Some of her fans recognized the star.,The star was recognized by some of her fans.,
3203,,The Spanish club provided the decorations for the dance. ,The decorations for the dance were provided by the Spanish club.,
3204,,An alligator attacked the man in the river.,The man was attacked in the river by an alligator.,
3205,,The moon lit the landscape during the night.,During the night the landscape was lit by the moon.,
3206,,The makers of Crunchee Crackers brought you this program. ,This program was brought to you by the makers of Crunchee Crackers.,
3207,https://www.wikihow.com/Understand-the-Difference-Between-Passive-and-Active-Sentences,The rain ruined my shoes.,My shoes were ruined by the rain.,
3208,,The dog ate my homework.,My homework was eaten by the dog.,
3209,,Dad burned dinner. ,Dinner was burned by Dad.,
3210,,Medication improved her condition.,Her condition was improved by medication.,
3211,,The heat made us more miserable.  ,We were made more miserable by the heat.,
3212,,The mosquito bite made him itch.,He itched due to a mosquito bite.,
3213,,The doctor saw many patients.,Many patients were seen by the doctor.,
3214,,The pitcher's error lost us the game.,We lost the game due to the pitcher's error.,
3215,,Sue drove them here.,They were driven here by Sue.,
3216,,He directed us.,We were directed by him.,
3217,,Oxen that crossed a river.,The river was crossed by the oxen.,
3218,http://www.better-english.com/grammar/passive1.htm,IFL bought Nessafe.,Nessafe was bought by IFL.,
3219,,Fred asked Simon.,Simon was asked by Fred.,
3220,,Caroline paid for the meal., The meal was paid for by Caroline.,
3221,,Harry will meet you at the airport.,You will be met by Harry at the airport.,
3222,,Tom respects Lindsay's opinion., Lindsay's opinion is respected by Tom.,
3223,,Jane upset me by what she said.,I was upset by what Jane said.,
3224,,I'm going to inform John later today.,John is going to be informed by me later today.,
3225,,The police arrested 12 people.,12 people were arrested by the police.,
3226,,Shiela might come to see you tomorrow.,You might be visited by Shiela tomorrow.,
3227,,Frank Sinatra sang My Way.,My Way was sung by Frank Sinatra.,
3228,,Sales representatives from all the regions attended the meeting. ,The meeting was attended by sales representatives from all the regions. ,
3229,,The management will discuss the problem next week.,The problem will be discussed by the management next week.,
3230,,My assistant sent you the invoice last Monday.,The invoice was sent to you by my assistant last Monday.,
3231,,They invited her to explain her reasons for making the changes.,She was invited to explain her reasons for making the changes.,
3232,,You can find the order form on the last page of the catalogue.,The order form can be found on the last page of the catalogue.,
3233,,When will the IT guy install the software?,When will the software be installed by the IT guy?,
3234,,The committee will not announce the decision until next week.,The decision will not be announced by the committee until next week.,
3235,,My colleague hasn't introduced me to Dr Young yet.,I haven't been introduced to Dr Young yet.,
3236,,They expect better results soon.,Better results are expected soon.,
3237,,You can use this paper for any kind of printer.,This paper can be used for any kind of printer.,
3238,http://www.focus.olsztyn.pl/en-english-grammar-passive-voice-exercises-answers.html#.W7XNymgzY2w,Someone has returned the stolen wallet.,The stolen wallet has been returned by someone.,
3239,,They will not send you any money until next month.,You will not be sent any money until next month.,
3240,,She is looking after the children.,The children are being looked after by her.,
3241,,Has anyone informed you about the change of plan?,Have you been informed about the change of plan?,
3242,,My colleague stole my suitcase.,My suitcase was stolen by my colleague.,
3243,,You must add milk and flour to the eggs.,Milk and flour must be added to the eggs.,
3244,,Do you know who wrote The Willow?,Do you know who The Willow was written by?,
3245,,His mother didn’t give him any encouragement.,He wasn't given any encouragement by his mother.,
3246,,We suddenly realized that someone had tricked us.,We suddenly realized that we had been tricked by someone.,
3247,,The prosecutor was interviewing the suspect this morning.,The suspect was being interviewed by the prosecutor.,
3248,,They greeted him.,He was greeted.,
3249,,The company shipped the material to Japan.,The material was shipped to Japan.,
3250,,Jeannie sent the letter earlier,The letter was sent earlier.,
3251,,My neighbour alerted the police.,The police were alerted by my neighbours.,
3252,,You need to write this letter more precisely.,This letter needs to be more precisely written.,
3253,,I damaged the modem.,The modem has been damaged.,
3254,,Shakespeare wrote Romeo and Juliet.,Romeo and Juliet was written by Shakespeare.,
3255,,His grandfather constantly criticized John.,John was constantly criticized by his grandfather.,
3256,,The teacher told the students to be quiet.,The students were told to be quiet.,
3257,,The boss spoke to her about being late.,She was spoken to about being late.,
3258,,I delayed the project.,The project was delayed.,
3259,,They finally completed the job.,The job was finally completed.,
3260,,The agency has provided the terms of reference for this study.,The terms of reference for this study have been provided by the agency.,
3261,http://careersplay.com/active-voice-and-passive-voice-present-tense-exercises/,My father helps me.,I am helped by my father.,
3262,,She gathers flowers.,Flowers are gathered by her.,
3263,,He helps the poor.,The poor helped by him.,
3264,,You do not keep your word.,Your word is not kept by you.,
3265,,When do you eat your breakfast?,When is your breakfast eaten by you?,
3266,,Do you eat meat?,Is meat eaten by you?,
3267,,Why does he tell lies?,Why are lies told by him?,
3268,,Whom do you want?,Who is wanted by you?,
3269,,They expect good news.,Good news is expected by you.,
3270,,Children like toys and dolls.,Toys and dolls are liked by children.,
3271,,How do you wash your clothes?,How are your clothes washed by you?,
3272,,Where does she keep money?,Where is her money kept by her?,
3273,,Which pen do you like?,Which pen is liked by you?,
3274,,Who teaches you?,By whom are you taught.,
3275,,This officer does not punish his juniors.,His juniors are not punished by this officer.,
3276,,I learn a lesson.,A lesson is learnt by me.,
3277,,The postman delivers letters.,Letters are delivered by the postman.,
3278,,Our team wins the match.,The match is won by our team.,
3279,,Tom reads the novel in one day.,The novel is read by tom in a day.,
3280,,Jenny sings a song.,A song is sung by Jenny.,
3281,,She is watering the plants.,The plants are being watered by her.,
3282,,We are playing Hockey.,Hockey is not being played by us.,
3283,,I am not running a race.,A race is not being run by me.,
3284,,Jack is writing a letter.,A letter is being written by Jack.,
3285,,They are abusing him.,He is being abused by them.,
3286,,I am reading a poem.,A poem is being read by me.,
3287,,Why are you abusing him?,Why is he being abused by you?,
3288,,My mother is watching the T.V.,The T.V. is being watched by my mother.,
3289,,I am making a kite.,A kite is being made by me.,
3290,,They are watching the sports.,Sports are being watched by them.,
3291,,Ruth is driven a car.,A car is being driven by her.,
3292,,I have kept my promise.,My promise has been kept by me.,
3293,,He has cleared the account.,The account has been cleared by him.,
3294,,Jack has read the book.,The book has been read by Jack.,
3295,,She has not stolen my pen.,My pen has not been stolen by her.,
3296,,Have you taken medicine?,Has medicine been taken by you?,
3297,,Why have you wound the watch?,Why has the watch been wound by you?,
3298,,Who has torn this letter?,By whom has this letter been torn?,
3299,,I have not finished my work.,My work has not been finished by me.,
3300,,She has passed the M.A examination.,The M.A examination has been passed by her.,
3301,,Has Ruth spoiled your clothes?,Have your clothes been spoiled by Ruth?,
3302,,Have you spent all your money?,Have all your money been spent by you?,
3303,,Edison invented the first gramophone.,The first gramophone was invented by Edison.,
3304,,The cat drank all the milk.,All the milk was drunk by the cat.,
3305,,They did not expect me.,I was not expected by them.,
3306,,Did you make a noise?,Was a noise made by you?,
3307,,The teacher did not beat them.,They were not beaten by the teacher.,
3308,,They did not win the prize.,The prize was not won by them.,
3309,,A thief stole my bike.,My bike was stolen by a thief.,
3310,,Alec cleaned the home.,The home was cleaned by Alec.,
3311,,Jenny wrote a letter.,A letter was written by Jenny.,
3312,,When did he do his home task?,When was his home task done by him?,
3313,,Where did you find the diary?,Where was the diary found by you?,
3314,,Which picture did you see last night?,Which picture was seen by you last night?,
3315,,Tom did not make a cake.,A cake was not made by Tom.,
3316,,Alex threw the ball.,The ball was thrown by Alex.,
3317,,They were playing a game.,A game was being played by them.,
3318,,She was not plucking the flowers.,The flowers were being plucked by her.,
3319,,Jenny was singing a song.,A song was being sung by Jenny.,
3320,,I was not running a race.,A race was not being run by me.,
3321,,Was she giving a lecture?,Was a lecture being given by her?,
3322,,She was not abusing them.,They were not being abused by her.,
3323,,Were you not writing a story- book?,Was a story-book being written by you?,
3324,,I was preparing his bike.,His bike was being prepared by me.,
3325,,Why were you wasting your time?,Why was your time being wasted by you?,
3326,,What was Ruth doing?,What was being done by Ruth?,
3327,,Whom were you abusing?,Who was being abused by you?,
3328,,Why were they plucking the flowers?,Why were the flowers being plucked by them?,
3329,,She had already taken the medicine.,The medicine had been taken by her.,
3330,,The little boy had broken the window.,The window had been broken by the little boy.,
3331,,I had lost my wallet.,My wallet had been lost by me.,
3332,,I had already taken this dish before.,This dish had not been tested by me before.,
3333,,Ruth had not noticed me.,I had not been noticed by Ruth.,
3334,,I had lost the key.,The key had been lost by me.,
3335,,The servant had not posted the letter.,The letter had not been posted by the servant.,
3336,,Had he posted the letter?,Had the letter been posted by him?,
3337,,Had Mark cleaned the room?,Had the room been cleaned by Mark?,
3338,,Why had you disturbed her?,Why had she been disturbed by you?,
3339,,What had you done?,What had been done by you?,
3340,,Why had you torn the letter?,Why had the letter been torn by you?,
3341,,This little boy will post my letter.,My letter will be posted by this little boy.,
3342,,Adam will help me.,I will be helped by Adam.,
3343,,He will help me with money.,I will be helped by him with money.,
3344,,Jenny will buy a new phone.,A new phone will be bought by Jenny.,
3345,,The baby will break the toy.,The toy will be broken by the baby.,
3346,,Will he cook the food?,Will the food be cooked by him?,
3347,,He will not steal the watch.,The watch will not be stolen by him.,
3348,,Why will he pay the bill?,Why will the bill be paid by him?,
3349,,What will you have for breakfast?,What will be had for breakfast by you?,
3350,,She will not iron her cloth.,Her cloth will not be ironed by her.,
3351,,Jack will not post the letter.,The will not be posted by Jack.,
3352,,Why will she sign these papers?,Why will these papers be signed by her?,
3353,,We will catch the train.,The train will be caught by us.,
3354,,The patient will have taken medicine.,Medicine will have been taken by the patient.,
3355,,She will have read this book.,This book will have been read by her.,
3356,,We shall have done our home-task.,Our home-task will have been done by us.,
3357,,She will not have abused me.,I will not have been abused by her.,
3358,,He will not have taken the test.,The test will not have been taken by him.,
3359,,You will not have learnt the lesson.,The lesson will not have been leant by you.,
3360,,He will have sold his house.,His house will have been sold by him,
3361,,Will he have paid the bill?,Will the bill have been paid by him?,
3362,,Who will have broken the chair?,By whom will the chair have been broken?,
3363,,He will have milked the cow.,The cow will have been milked by him.,
3364,,Ruth will have spent all the money.,All the money will have been spent by Ruth.,
3365,,We can do this work.,This work can be done by us.,
3366,,You should obey your parents.,Your parents should be obeyed by you.,
3367,,I can solve this sum.,This sum can be solved by me.,
3368,,You may use my pen.,My pen may be used by you.,
3369,,He could not help us.,We could not be helped by him.,
3370,,We should respect our parents.,Our parents should be respected by us.,
3371,,She would not help you.,You would not be helped by her.,
3372,,They could not read the sentence.,The sentence could not be read by them.,
3373,,Would you take a cup of tea?,Would a cup of tea be taken by you?,
3374,,Could mark lock the door?,Could the door be locked by Mark?,
3375,,He need not buy bread.,Bread need not brought by him.,
3376,,Can I use your umbrella?,Can your umbrella be used by me?,
3377,,Could you shut the door?,Could the door be shut by you?,
3378,,Get out of my sight.,You are ordered to get out of my sight.,
3379,http://www.english-for-students.com/Passive-Voice.html,She has told me the truth.,The truth was told to me by her.,
3380,,They lent me their car. ,A car was lent to me by them.,
3381,,The Government has sent him a message. ,He was sent a message by the government.,
3382,,Do not mistake me.,Let me not be mistaken.,
3383,,Cut your nails.,Let your nails be cut.,
3384,,Do not ignore my suggestions.,Let not my suggestions be ignored.,
3385,,You can take the book.,The book can be taken by you.,
3386,,Everybody must obey the rules.,The rules must be obeyed by everybody.,
3387,,They might have studied their lessons.,Their lessons might have been studied by them.,
3388,,He may not accept this plan.,This lesson may not be accepted by him.,
3389,,We are looking at the game.,The game is being looked at by us.,
3390,,The fire-brigade put out the fire.,The fire was put out by the fire-brigade. ,
3391,,The Government will set up a factory. ,A factory will be set up by the government. ,
3392,,I hope that he will realize his mistake.,That his mistake will be realized is hoped by us.,
3393,,I expected that they would take up the matter. ,That the matter would be taken up by them was expected by me.,
3394,,The Romans expected that they would conquer Carthage.,It was expected by the Romans that Carthage would be conquered by them.,
3395,,We have learned that you have secured the first rank.,It has been learned by us that the first rank has been secured by you.,
3396,,The grandmother was telling her grandchildren an interesting story.,An interesting story was being told by the grandmother to her grand children.,
3397,,The postman brought you a parcel.,A parcel was brought to you by a postman.,
3398,,I have taught the class the first lesson.,The first lesson was taught by me to the class.,
3399,,The office has sent her a message.,A message has been sent to her by the office.,
3400,,The waiter brought us the menu card. ,The menu card was brought to us by the waiter.,
3401,,They are offering you another chance.,You are being offered another chance by them. ,
3402,,He had told me a lie.,I had been told a lie by him.,
3403,,I gave her your message.,She was given your message by me.,
3404,,Who taught you Sanskrit?,Sanskrit was taught to you by whom?,
3405,,Sign these documents.,Let these documents be signed.,
3406,https://english.lingolia.com/en/grammar/verbs/passive-voice/exercises,People say that this corner is an accident black spot.,It is said that this corner is an accident black spot.,
3407,,He hit me with his car.,I was hit by his car.,
3408,,Someone injures the man.,The man is injured by someone.,
3409,,He invents silly things.,Silly things are invented.,
3410,,I am reading a book.,A book is being read.,
3411,,She has signed the contract.,The contract has been signed.,
3412,,A car hit me.,I was hit.,
3413,,My neighbours will take care of my plants.,My plants will be taken care of.,
3414,,They think that he earns a lot of money.,He is thought to earn a lot of money.,
3415,,Visitors say that these museums have wonderful exhibits.,These museums are said to have wonderful exhibits.,
3416,,Everybody knows that this sculpture is the artist’s greatest work.,This sculpture is known to be the artist’s greatest work.,
3417,,The police assume that the arrested man has robbed the bank.,The arrested man is assumed to have robbed the bank.,
3418,,Experts suppose that this jewellery belonged to Cleopatra.,This jewellery is supposed to have belonged to Cleopatra.,
3419,,The doctor gave me a prescription.,I was given a prescription.,
3420,https://4syllables.com.au/resources/active-voice-cheat-sheet/,The board changed the process.,The process has been changed by the board.,
3421,,The project team will discuss the report,There will be a discussion of the report by the project team.,
3422,,The committee considered it.,It was considered by the committee.,
3423,,The university will manage scholarship funding.,Scholarship funding will be managed by the university.,
3424,,Her supervisor lodged a complaint.,A complaint was lodged by her supervisor.,
3425,,The evidence supports our conclusion.,Our conclusion is supported by the evidence.,
3426,,Global warming is threatening coastal towns.,Coastal towns are being threatened by global warming.,
3427,,The accountant admitted three mistakes.,Three mistakes were admitted by the accountant.,
3428,,Most of the class has read the book.Most of the class read the book.,The book has been read by most of the class.The book was read by most of the class.,
3429,,Our employees have ignored the new procedures.,The new procedures have been ignored by our employees.,
3430,,The tax office found errors in our audit.,Errors were found in our audit.,
3431,,Your manager must review your performance.,Your performance must be reviewed by your manager.,
3432,,Researchers concluded that the treatment was effective.,It was concluded that the treatment was effective.,
3433,,We keep contractors informed of the status of the department’s works and services.,Contractors and consultants are kept informed of the status of the department’s works and services.,
3434,,The Ash Wednesday bushfires heavily damaged the town.,The town was heavily damaged in the Ash Wednesday bushfires.,
3435,,These results indicate a number of problems.,A number of problems are indicated by these results.,
3436,,The Minister rejected the proposal to increase the use of renewable energy sources.,The proposal to increase the use of renewable energy sources was rejected by the Minister.,
3437,,The local council provides a varied range of programs for the elderly.,A varied range of programs for the elderly are provided by the local council.,
3438,,DNA encodes genetic information.,Genetic information is encoded by DNA.,
3439,,Highway robbers plague parts of rural India.,Parts of rural India are plagued by highway robbers.,
3440,,She faxed the application for the job yesterday.,The application for the job was faxed by her yesterday.,
3441,,Do they make cars in Korea?,Are cars made in Korea?,
3442,,Do the hounds kill the fox?,Is the fox killed by the hounds?,
3443,,Will The King inaugurate the new bridge?,Will the new bridge be inaugurated by The King?,
3444,,Is a doctor going to examine you?,Are you going to be examined by a doctor,
3445,,Did the bull kill the matador?,Was the matador killed by the bull?,
3446,,Did they catch the thief?,Was the thief caught??,
3447,,When did they hijack the plane?,When was the plane hijacked,
3448,,How did your host family treat you?,How were you treated by the host family?,
3449,,Have the police found the body?,Has the body been found by the police?,
3450,,Has anyone cleaned the oven yet?,Has the oven been cleaned yet?,
3451,,Why has the government banned the film?,Why has the film been banned by the government?,
3452,,Would Tai Chi classes interest you?,Would you be interested in Tai Chi classes?,
3453,https://www.cbsetuts.com/cbse-class-6-english-grammar-active-passive-voice/,His teacher praised him.,He was praised by his teacher.,
3454,,The boy teased the dog.,The dog was teased by the boy.,
3455,,The police arrested him.,He was arrested.,
3456,,Rama was making a kite.,A kite was being made by Rama.,
3457,,The boy caught the ball.,The ball was caught by the boy.,
3458,,My father will write a letter.,A letter will be written by my father.,
3459,,I will defeat him.,He will be defeated by me.,
3460,,He kept me waiting.,I was kept waiting.,
3461,,He scored twenty runs.,Twenty runs were scored by him.,
3462,,Manners reveal character.,Character is revealed by manners.,
3463,,Everyone loves him.,He is loved by everyone.,
3464,,We expect good news.,Good news is expected.,
3465,,I have sold my bicycle.,My bicycle has been sold.,
3466,,We must write to him.,He must be written to by us.,
3467,,They are doing the work.,The work is being done by them.,
3468,,The car hit the man.,The man was hit by the car.,
3469,,Shyam eats an apple.,An apple is eaten by Shyam.,
3470,,I had posted the letter before I met him.,The letter had been posted by me before I met him,
3471,,How do they make coffee?,How is coffee made?,
3472,,Rachna had made tea.,Tea had been made by Rachna.,
3473,,Abdul was watering the plants.,Plants were being watered by Abdul.,
3474,,Surabhi will write a letter.,A letter will be written by Surabhi.,
3475,,Mala has broken the window.,The window has been broken by Mala.,
3476,,I like mangoes.,Mangoes are liked by me.,
3477,,He takes tea.,Tea is taken by him.,
3478,,She makes a noise.,A noise is made by her.,
3479,,The roadrunner dropped an anvil on the coyote,An anvil was dropped on the coyote by the roadrunner.,
3480,,The man yelled at the waiter.,The waiter was yelled at by the man.,
3481,,Millions of people lived in the houses.,The houses were lived in by millions of people.,
3482,,I dropped the ball.,The ball was dropped by me.  ,
3483,,The man offered the butler a reward.,The Butler was offered a reward by the man.,
3484,http://www.pscexams.com/subtopic/content/?topic=84&id=444,All of us were cheering out team.,Our team was being cheered by all of us.,
3485,,We must always help the poor.,The poor must always be helped by us ,
3486,,Give the answer ,Let the answer be given,
3487,,Did you read the book?,Was the book read by you?,
3488,,People speak English all over the world ,English is spoken all over the world by people,
3489,,They are planning a trip to Delhi ,A trip to Delhi is being planned by them,
3490,,You have not sent the mail.,The mail has not been sent by you.,
3491,,Translate it into English ,Let it be translated into English,
3492,,They may dismiss him,He may be dismissed by them ,
3493,,The carpenter is making a chair.,A chair was being made by the carpenter.,
3494,,We admire the brave ,The brave are admired by us,
3495,,Get out.,You are ordered to get out,
3496,,The Principal will hoist the flag,The flag will be hoisted by the Principal,
3497,,The boy broke the window,The window was broken by the boy,
3498,,The teacher gave the students some advice.,Some advice was given to the students by the teacher. ,
3499,,They have wasted both time and money,Both time and  money have been wasted,
3500,,He is painting his house ,His house is being painted by him,
3501,,Some of the tricks were amazed by us.,We were amazed by some of the tricks. ,
3502,http://www.wordpower.ws/grammar/gramex12.html#1,They drive to work at seven o'clock every morning.,They are driven to work at seven o'clock every morning.,
3503,,Did he notice?,Was he noticed?,
3504,,She is not telling the truth.,She is not being told the truth.,
3505,,We have sent a message.,We have been sent a message.,
3506,,I will pay.,I will be paid.,
3507,,Do they expect to leave? ,Are they expected to leave?,
3508,,He is giving instructions. ,He is being given instructions.,
3509,,They have moved to a new location. ,They have been moved to a new location.,
3510,,She will fly to London. ,She will be flown to London.,
3511,,He has offered a discount. ,He has been offered a discount.,
3512,,They have stopped. ,They have been stopped.,
3513,,Will you have given the order?,Will you have been given the order?,
3514,,We sent a favorable reply. ,We were sent a favorable reply.,
3515,,We were teaching German. ,We were being taught German.,
3516,,I understand. ,I am understood.,
3517,,He is offering free advice.,He is being offered free advice.,
3518,,She will rush to the reception.,She will be rushed to the reception.,
3519,,We pay regularly.,We are paid regularly.,
3520,,She does not assist every day.,She is not assisted every day.,
3521,,Was he not flying to Boston?,Was he not being flown to Boston?,
3522,,It has grown here for the past twenty years.,It has been grown here for the past twenty years.,
3523,,Might they call at nine o'clock?,Might they be called at nine o'clock?,
3524,,We can hear easily.,We can be heard easily.  ,
3525,,She is giving advice.,She is being given advice.  ,
3526,,Did they not fly over the lake?,Were they not flown over the lake?  ,
3527,,I had transferred to another department.,I had been transferred to another department.,
3528,,He is stopping.,He is being stopped.  ,
3529,,We have sent a letter.,We have been sent a letter.  ,
3530,,He is not teaching music theory.,He is not being taught music theory.  ,
3531,,Should they have flown to their next destination?,Should they have been flown to their next destination?  ,
3532,,They will watch constantly.,They will be watched constantly.  ,
3533,,We had driven to the beach this morning.,We had been driven to the beach this morning.,
3534,,Has he checked into the hotel?,Has he been checked into the hotel? ,
3535,,Could I have told the news yesterday?,Could I have been told the news yesterday? ,
3536,,The teenager rowed the boat.,The boat was rowed by the teenager.,
3537,,The girl is riding the horse.,The horse is being ridden by the girl.,
3538,,The student has prepared the lunch.,The lunch has been prepared by the student.,
3539,,The president will thank the members.,The members will be thanked by the president.,
3540,,The children can understand the poem.,The poem can be understood by the children.,
3541,,The woman founded the club.,The club was founded by the woman.,
3542,,This entry took the prize.,The prize was taken by this entry.,
3543,,The girl is playing the guitar.,The guitar is being played by the girl.,
3544,,The mailman has delivered the letter.,The letter has been delivered by the mailman.,
3545,,The chauffeur can drive the car.,The car can be driven by the chauffeur.,
3546,,The child chose the hat.,The hat was chosen by the child.,
3547,,The cat chased the mouse.,The mouse was chased by the cat.,
3548,,The workers will weave the carpet.,The carpet will be woven by the workers.,
3549,,The stranger could have bought the hiking boots.,The hiking boots could have been bought by the stranger.,
3550,,The dealer has sold the car.,The car has been sold by the dealer.,
3551,,The dog splashed the water.,The water was splashed by the dog.,
3552,,The man has watered the garden.,The garden has been watered by the man.,
3553,,Everyone heard the news.,The news was heard by everyone.,
